ts,open,high,low,close,volume
1783764060000,1795.18,1795.78,1795.17,1795.3,759.106
1783764120000,1795.3,1795.54,1795.05,1795.41,378.516
1783764180000,1795.42,1796.2,1795.41,1795.93,654.264
1783764240000,1795.94,1796.26,1795.62,1795.83,734.511
1783764300000,1795.82,1795.94,1795.77,1795.78,267.428
1783764360000,1795.77,1795.78,1795.33,1795.33,348.167
1783764420000,1795.33,1795.38,1795.18,1795.19,295.232
1783764480000,1795.19,1795.38,1795.08,1795.08,605.047
1783764540000,1795.09,1795.34,1795.0,1795.34,583.209
1783764600000,1795.33,1795.82,1795.33,1795.38,437.342
1783764660000,1795.37,1795.71,1795.27,1795.68,496.308
1783764720000,1795.68,1796.0,1795.67,1796.0,658.667
1783764780000,1796.0,1796.42,1795.99,1796.35,1393.389
1783764840000,1796.36,1796.66,1796.35,1796.52,459.934
1783764900000,1796.52,1796.53,1795.52,1795.57,238.804
1783764960000,1795.56,1795.61,1794.76,1795.28,766.652
1783765020000,1795.29,1795.4,1795.06,1795.39,189.972
1783765080000,1795.4,1795.54,1794.82,1795.31,201.147
1783765140000,1795.3,1795.31,1794.86,1795.05,369.54
1783765200000,1795.04,1795.82,1795.04,1795.82,308.272
1783765260000,1795.82,1795.89,1795.81,1795.88,176.049
1783765320000,1795.89,1796.2,1795.88,1796.2,175.103
1783765380000,1796.2,1796.48,1796.14,1796.14,269.48
1783765440000,1796.15,1797.0,1796.15,1797.0,1270.085
1783765500000,1797.0,1797.16,1796.8,1796.8,615.273
1783765560000,1796.81,1796.88,1796.4,1796.6,592.914
1783765620000,1796.61,1797.44,1796.6,1797.44,387.986
1783765680000,1797.44,1797.76,1797.43,1797.61,302.551
1783765740000,1797.61,1797.91,1797.45,1797.91,339.015
1783765800000,1797.9,1797.91,1797.46,1797.46,417.359
1783765860000,1797.45,1797.46,1797.06,1797.06,551.44
1783765920000,1797.07,1797.07,1796.79,1796.8,468.185
1783765980000,1796.79,1797.15,1796.79,1797.14,219.421
1783766040000,1797.15,1797.5,1797.14,1797.5,256.863
1783766100000,1797.49,1797.5,1796.48,1796.68,1391.366
1783766160000,1796.68,1797.03,1796.68,1797.02,74.439
1783766220000,1797.03,1797.03,1797.02,1797.03,95.614
1783766280000,1797.02,1797.03,1796.0,1796.01,202.954
1783766340000,1796.0,1796.49,1796.0,1796.24,333.637
1783766400000,1796.24,1796.43,1796.01,1796.42,517.859
1783766460000,1796.43,1796.5,1796.3,1796.5,107.837
1783766520000,1796.5,1797.38,1796.49,1797.33,813.755
1783766580000,1797.33,1797.66,1797.1,1797.66,1093.355
1783766640000,1797.66,1798.11,1796.77,1796.85,592.031
1783766700000,1796.85,1797.58,1796.85,1797.58,576.383
1783766760000,1797.59,1798.11,1797.59,1798.11,172.241
1783766820000,1798.1,1798.49,1798.1,1798.26,503.398
1783766880000,1798.25,1798.47,1798.25,1798.25,345.614
1783766940000,1798.26,1798.43,1797.8,1797.8,504.162
1783767000000,1797.81,1798.33,1797.8,1798.33,215.817
1783767060000,1798.33,1798.33,1797.53,1797.53,1147.303
1783767120000,1797.54,1797.55,1797.18,1797.55,226.386
1783767180000,1797.55,1797.86,1797.54,1797.86,39.864
1783767240000,1797.86,1797.86,1797.57,1797.58,111.706
1783767300000,1797.57,1797.58,1797.57,1797.58,243.288
1783767360000,1797.58,1797.92,1797.57,1797.69,866.246
1783767420000,1797.68,1797.78,1797.68,1797.78,287.015
1783767480000,1797.78,1797.78,1797.57,1797.57,429.523
1783767540000,1797.57,1797.58,1797.38,1797.52,334.294
1783767600000,1797.53,1797.58,1797.09,1797.09,173.864
1783767660000,1797.09,1797.1,1796.52,1796.52,230.323
1783767720000,1796.52,1796.7,1796.31,1796.69,379.477
1783767780000,1796.69,1797.17,1796.69,1797.17,163.944
1783767840000,1797.17,1797.24,1797.05,1797.05,100.12
1783767900000,1797.05,1797.28,1797.04,1797.28,501.34
1783767960000,1797.29,1798.1,1797.12,1798.09,444.165
1783768020000,1798.1,1798.6,1798.09,1798.59,2436.028
1783768080000,1798.6,1798.6,1797.38,1797.38,770.227
1783768140000,1797.39,1797.81,1797.18,1797.81,398.197
1783768200000,1797.8,1797.93,1797.66,1797.67,595.873
1783768260000,1797.66,1797.67,1797.31,1797.31,367.887
1783768320000,1797.32,1797.96,1797.32,1797.79,310.383
1783768380000,1797.79,1798.05,1797.39,1797.4,569.495
1783768440000,1797.39,1798.14,1797.39,1798.13,465.611
1783768500000,1798.14,1798.29,1797.33,1797.34,213.877
1783768560000,1797.33,1797.36,1797.19,1797.36,95.304
1783768620000,1797.35,1797.36,1797.01,1797.02,278.079
1783768680000,1797.02,1797.44,1797.01,1797.44,232.408
1783768740000,1797.43,1797.66,1797.33,1797.65,405.946
1783768800000,1797.66,1797.72,1797.33,1797.34,245.075
1783768860000,1797.34,1797.34,1797.04,1797.22,417.327
1783768920000,1797.22,1797.22,1797.0,1797.19,198.716
1783768980000,1797.18,1797.19,1797.18,1797.18,114.344
1783769040000,1797.19,1797.45,1797.1,1797.44,429.128
1783769100000,1797.44,1798.2,1797.44,1798.2,326.674
1783769160000,1798.19,1798.29,1797.79,1798.05,581.682
1783769220000,1798.05,1798.18,1798.03,1798.07,156.025
1783769280000,1798.07,1798.18,1798.07,1798.17,119.484
1783769340000,1798.17,1798.28,1798.17,1798.27,38.464
1783769400000,1798.28,1798.28,1798.08,1798.09,263.915
1783769460000,1798.08,1798.15,1797.96,1798.12,243.811
1783769520000,1798.12,1798.94,1798.12,1798.64,724.413
1783769580000,1798.63,1798.93,1798.57,1798.74,403.107
1783769640000,1798.74,1798.74,1798.62,1798.72,675.523
1783769700000,1798.73,1799.7,1798.72,1799.69,1012.287
1783769760000,1799.69,1799.7,1799.22,1799.6,424.263
1783769820000,1799.6,1799.6,1798.94,1799.08,628.553
1783769880000,1799.09,1799.09,1799.03,1799.03,197.554
1783769940000,1799.04,1799.04,1798.71,1798.83,332.732
1783770000000,1798.83,1799.04,1798.83,1799.03,117.756
1783770060000,1799.03,1799.04,1799.03,1799.04,11.68
